S	0	2034	*	*	*	*	*	AB856527_1_2034_U_Diplophrys_sp	*
S	1	1948	*	*	*	*	*	DQ834735_1_1948_U_Thraustochytriaceae_X_sp	*
S	2	1911	*	*	*	*	*	DQ525181_1_1911_U_Schizochytrium_sp	*
S	3	1904	*	*	*	*	*	DQ834734_1_1904_U_Thraustochytriaceae_X_sp	*
S	4	1880	*	*	*	*	*	AY916582_1_1880_U_Labyrinthulaceae_ANT10_3_sp	*
S	5	1880	*	*	*	*	*	KU728175_1_1880_U_Sorodiplophrys_stercorea	*
S	6	1879	*	*	*	*	*	AY082983_1_1879_U_Amphifila_sp	*
S	7	1879	*	*	*	*	*	KU728176_1_1879_U_Sorodiplophrys_stercorea	*
S	8	1865	*	*	*	*	*	MH059488_1_1865_U_Aurantiochytrium_limacinum	*
S	9	1861	*	*	*	*	*	MH059487_1_1861_U_Aurantiochytrium_limacinum	*
S	10	1856	*	*	*	*	*	MH059483_1_1856_U_Aurantiochytrium_limacinum	*
S	11	1849	*	*	*	*	*	MH059482_1_1849_U_Aurantiochytrium_limacinum	*
S	12	1848	*	*	*	*	*	KF682125_1_1848_U_Schizochytrium_sp	*
S	13	1846	*	*	*	*	*	U21338_1_1846_U_Labyrinthuloides_haliotidis	*
S	14	1828	*	*	*	*	*	AB810966_1_1828_U_Thraustochytriaceae_X_sp	*
S	15	1827	*	*	*	*	*	DM372738_54_1880_U_Ulkenia_sp	*
H	15	1827	100.0	+	0	0	=	GM664565_54_1880_U_Ulkenia_sp	DM372738_54_1880_U_Ulkenia_sp
S	16	1823	*	*	*	*	*	KJ758913_1_1823_U_Labyrinthulomycetes_LAB16_X_sp	*
S	17	1821	*	*	*	*	*	L34668_1_1821_U_Thraustochytrium_kinnei	*
S	18	1819	*	*	*	*	*	FJ821500_1_1819_U_Thraustochytriaceae_HK10_sp	*
S	19	1818	*	*	*	*	*	DQ310278_1_1818_U_Labyrinthulomycetes_LAB6_sp	*
S	20	1818	*	*	*	*	*	KJ762608_1_1818_U_Labyrinthulomycetes_LAB15_X_sp	*
S	21	1815	*	*	*	*	*	FJ821499_1_1815_U_Thraustochytriaceae_HK10_sp	*
S	22	1815	*	*	*	*	*	L34054_1_1815_U_Ulkenia_profunda	*
S	23	1814	*	*	*	*	*	KJ757176_1_1814_U_Labyrinthulomycetes_LAB15_X_sp	*
S	24	1812	*	*	*	*	*	AB022116_1_1812_U_Ulkenia_visurgensis	*
H	24	1812	100.0	+	0	0	=	DQ100296_1_1812_U_Ulkenia_visurgensis	AB022116_1_1812_U_Ulkenia_visurgensis
S	25	1809	*	*	*	*	*	OBAT01040284_1_1809_U_Amphifila_sp	*
H	25	1809	100.0	+	0	0	=	OBEP011531775_1_1809_U_Amphifila_sp	OBAT01040284_1_1809_U_Amphifila_sp
H	25	1809	100.0	+	0	0	=	OBRS01834517_1_1809_U_Amphifila_sp	OBAT01040284_1_1809_U_Amphifila_sp
S	26	1808	*	*	*	*	*	FJ821498_1_1808_U_Thraustochytrium_kinnei	*
S	27	1808	*	*	*	*	*	KJ763928_1_1808_U_Labyrinthulomycetes_LAB15_X_sp	*
S	28	1807	*	*	*	*	*	AB022110_1_1807_U_Thraustochytrium_aureum	*
S	29	1807	*	*	*	*	*	EF023442_1_1807_U_Amphifilaceae_X_sp	*
S	30	1806	*	*	*	*	*	AY742761_1_1806_U_Phytophthora_infestans	*
S	31	1806	*	*	*	*	*	EF023338_1_1806_U_Amphifilaceae_X_sp	*
S	32	1806	*	*	*	*	*	KJ761355_1_1806_U_Aplanochytrium_sp	*
S	33	1806	*	*	*	*	*	OBEP011498403_1_1806_U_Amphifila_sp	*
H	31	1805	99.7	+	0	0	4I1541MD74MD4MD183M	EF023208_1_1805_U_Amphifilaceae_X_sp	EF023338_1_1806_U_Amphifilaceae_X_sp
S	34	1803	*	*	*	*	*	AB275111_1_1803_U_Labyrinthulomycetes_LAB1_sp	*
S	35	1803	*	*	*	*	*	GM664568_1_1803_U_Schizochytrium_sp	*
